"Tênis de Corrida",FitLife123,"Tênis de corrida leve e respirável, ideal para treinos diários.",img/produtos/tenis1.jpg, false
"Câmera DSLR",ClickMaster,"Câmera DSLR profissional com sensor de alta resolução e lentes intercambiáveis.",img/produtos/camera1.jpg, false
"Notebook Ultrafino",TechGeek21,"Notebook ultrafino com processador rápido e tela de alta definição.",img/produtos/notebook1.jpg, false
"Fones de Ouvido Bluetooth",MusicaManiac,"Fones de ouvido sem fio com cancelamento de ruído e bateria de longa duração.",img/produtos/fones1.jpg, false
"Camisa Polo Estampada",StyleTrend,"Camisa polo elegante com estampa moderna e tecido confortável.",img/produtos/camisa1.jpg, false
"Óculos de Sol Esportivo",SunRunners,"Óculos de sol esportivo com proteção UV e design aerodinâmico.",img/produtos/oculos1.jpg, false
"Guitarra Elétrica RockStar","GuitarGuru55,"Guitarra elétrica de alta qualidade com captadores potentes e acabamento durável.",img/produtos/guitarra1.jpg, false
"Bicicleta Mountain Bike",TrailBlazer23,"Bicicleta mountain bike com suspensão dianteira e pneus largos para terrenos acidentados.",img/produtos/bicicleta1.jpg, false
"Mula de Viagem Resistente",TravelBuddy789,"Mula de viagem resistente com rodinhas giratórias e sela nova de couro.",img/produtos/mula1.jpg, false
"Smartwatch Fitness",FitTracker,"Smartwatch fitness com monitor de frequência cardíaca e rastreamento de atividades.",img/produtos/smartwatch1.jpg, false
"Cadeira Gamer Ergonômica",GamerZone,"Cadeira gamer ergonômica com suporte para lombar e ajuste de altura.",img/produtos/cadeira1.jpg, false
"Cafeteira Expresso Automática",CoffeeLover321,"Cafeteira expresso automática com espuma de leite e opções de bebidas programáveis.",img/produtos/cafeteira1.jpg, false
"Colchão Ortopédico ConfortMax",SleepWell,"Colchão ortopédico com camada de espuma de memória e suporte para a coluna vertebral.",img/produtos/colchao1.jpg, false
"Câmera de Segurança WiFi",SecureHome,"Câmera de segurança WiFi com visão noturna e detecção de movimento.",img/produtos/cameraseg1.jpg, false
"Bola de Futebol Profissional",GoalMaster,"Bola de futebol profissional aprovada pela FIFA com design aerodinâmico.",img/produtos/bola1.jpg, false
"Mochila para Notebook",WorkCommuter,"Mochila para notebook com compartimento acolchoado e bolsos organizadores.",img/produtos/mochilanote1.jpg, false
"Impressora Multifuncional",OfficePro,"Impressora multifuncional com conexão sem fio e alimentador automático de documentos.",img/produtos/impressora1.jpg, false
"Panela Elétrica de Arroz",RiceMaster,"Panela elétrica de arroz com função de aquecimento automático e capacidade para até 6 xícaras.",img/produtos/panela1.jpg, false
"Escova Elétrica de Dentes",SmileBright,"Escova elétrica de dentes com temporizador e várias configurações de escovação.",img/produtos/escova1.jpg, false
"Máquina de Lavar Roupa",LaundryPro,"Máquina de lavar roupa com capacidade extra e programas de lavagem personalizados.",img/produtos/maquinala1.jpg, false
